V(V),I(A)
-10.0,-9e-08
-10.0,-4.8e-07
-9.8,-6e-07
-9.6,-6e-07
-9.4,-6e-07
-9.2,-6e-07
-9.0,-5.9e-07
-8.8,-5.8e-07
-8.6,-5.8e-07
-8.4,-5.7e-07
-8.2,-5.6e-07
-8.0,-5.5e-07
-7.8,-5.5e-07
-7.6,-5.4e-07
-7.4,-5.3e-07
-7.2,-5.2e-07
-7.0,-5.1e-07
-6.8,-5e-07
-6.6,-4.9e-07
-6.4,-4.8e-07
-6.2,-4.8e-07
-6.0,-4.7e-07
-5.8,-4.6e-07
-5.6,-4.5e-07
-5.4,-4.4e-07
-5.2,-4.3e-07
-5.0,-4.2e-07
-4.8,-4.1e-07
-4.6,-4.1e-07
-4.4,-4e-07
-4.2,-3.9e-07
-4.0,-3.7e-07
-3.8,-3.7e-07
-3.6,-3.6e-07
-3.4,-3.5e-07
-3.2,-3.4e-07
-3.0,-3.3e-07
-2.8,-3.1e-07
-2.6,-3.1e-07
-2.4,-3e-07
-2.2,-2.9e-07
-2.0,-2.8e-07
-1.8,-2.7e-07
-1.6,-2.6e-07
-1.4,-2.4e-07
-1.2,-2.3e-07
-1.0,-2.2e-07
-0.8,-2e-07
-0.6,-1.9e-07
-0.4,-1.6e-07
-0.2,-1.4e-07
0.0,-1.1e-07
0.2,-8e-08
0.4,-4e-08
0.6,2e-08
0.8,7e-08
1.0,1.3e-07
1.2,1.9e-07
1.4,2.6e-07
1.6,3.4e-07
1.8,4.2e-07
2.0,5.1e-07
2.2,5.9e-07
2.4,6.8e-07
2.6,7.6e-07
2.8,8.4e-07
3.0,9.2e-07
3.2,1e-06
3.4,1.07e-06
3.6,1.15e-06
3.8,1.24e-06
4.0,1.32e-06
4.2,1.4e-06
4.4,1.48e-06
4.6,1.56e-06
4.8,1.64e-06
5.0,1.73e-06
5.2,1.83e-06
5.4,1.97e-06
5.6,2.17e-06
5.8,2.45e-06
6.0,2.83e-06
6.2,3.33e-06
6.4,3.96e-06
6.6,4.61e-06
6.8,5.35e-06
7.0,6.21e-06
7.2,7.16e-06
7.4,8.22e-06
7.6,9.34e-06
7.8,1.047e-05
8.0,1.171e-05
8.2,1.302e-05
8.4,1.445e-05
8.6,1.602e-05
8.8,1.771e-05
9.0,1.949e-05
9.6,2.52e-05
9.8,2.74e-05
10.0,2.97e-05
10.2,3.19e-05
10.4,3.44e-05
10.6,3.69e-05
10.8,3.96e-05
11.0,4.23e-05
11.2,4.5e-05
11.4,4.76e-05
11.6,5.02e-05
11.8,5.29e-05
12.0,5.56e-05
12.2,5.81e-05
12.4,6.07e-05
12.6,6.32e-05
12.8,6.56e-05
13.0,6.81e-05
13.2,7.07e-05
13.4,7.32e-05
13.6,7.56e-05
13.8,7.81e-05
14.0,8.04e-05
14.2,8.28e-05
14.4,8.52e-05
14.6,8.76e-05
14.8,8.99e-05
15.0,9.22e-05
15.2,9.45e-05
15.4,9.68e-05
15.6,9.91e-05
15.8,0.0001013
16.0,0.0001034
16.2,0.0001055
16.4,0.0001076
16.6,0.0001097
16.8,0.0001117
17.0,0.0001137
17.2,0.0001157
17.4,0.0001177
17.6,0.0001196
17.8,0.0001216
18.0,0.0001235
18.2,0.0001254
18.4,0.0001272
18.6,0.0001291
18.8,0.0001309
19.0,0.0001328
19.2,0.0001345
19.4,0.0001363
19.6,0.0001381
19.8,0.0001399
20.0,0.0001418
20.2,0.0001437
20.4,0.0001456
20.6,0.0001476
20.8,0.0001497
21.0,0.0001518
21.2,0.0001541
21.4,0.0001565
21.6,0.0001588
21.8,0.0001613
22.0,0.000164
22.2,0.000167
22.4,0.0001703
22.6,0.0001737
22.8,0.0001771
23.0,0.0001809
23.2,0.0001849
23.4,0.0001892
23.6,0.0001936
23.8,0.0001981
24.8,0.000224
25.0,0.00023
