V(V),I(A)
0.0,-2.4e-07
0.0,-2.4e-07
0.1,-2.4e-07
0.1,-2.3e-07
0.1,-2.3e-07
0.2,-2.3e-07
0.2,-2.3e-07
0.3,-2.3e-07
0.3,-2.3e-07
0.3,-2.3e-07
0.4,-2.3e-07
0.4,-2.3e-07
0.5,-2.3e-07
0.5,-2.3e-07
0.5,-2.3e-07
0.6,-2.2e-07
0.6,-2.2e-07
0.7,-2.3e-07
0.7,-2.3e-07
0.7,-2.3e-07
0.8,-2.2e-07
0.8,-2.2e-07
0.9,-2.2e-07
0.9,-2.2e-07
0.9,-2.2e-07
1.0,-2.2e-07
1.0,-2.2e-07
1.1,-2.2e-07
1.1,-2.2e-07
1.1,-2.2e-07
1.2,-2.1e-07
1.2,-2.1e-07
1.3,-2.1e-07
1.3,-2.1e-07
1.3,-2.2e-07
1.4,-2.1e-07
1.4,-2.1e-07
1.5,-2.1e-07
1.5,-2.1e-07
1.5,-2.1e-07
1.6,-2.1e-07
1.6,-2.1e-07
1.7,-2.1e-07
1.7,-2.1e-07
1.7,-2.1e-07
1.8,-2e-07
1.8,-2e-07
1.9,-2e-07
1.9,-2e-07
1.9,-2e-07
2.0,-2e-07
2.0,-2e-07
2.1,-2e-07
2.1,-2e-07
2.1,-2e-07
2.2,-2e-07
2.2,-2e-07
2.3,-2e-07
2.3,-1.9e-07
2.3,-1.9e-07
2.4,-1.9e-07
2.4,-1.9e-07
2.5,-1.9e-07
2.5,-1.9e-07
2.5,-1.9e-07
2.6,-1.9e-07
2.6,-1.9e-07
2.7,-1.9e-07
2.7,-1.9e-07
2.7,-1.9e-07
2.8,-1.8e-07
2.8,-1.8e-07
2.9,-1.8e-07
2.9,-1.8e-07
2.9,-1.8e-07
3.0,-1.8e-07
3.0,-1.8e-07
3.1,-1.8e-07
3.1,-1.8e-07
3.1,-1.8e-07
3.2,-1.7e-07
3.2,-1.7e-07
3.3,-1.8e-07
3.3,-1.8e-07
3.3,-1.7e-07
3.4,-1.7e-07
3.4,-1.7e-07
3.5,-1.7e-07
3.5,-1.7e-07
3.5,-1.7e-07
3.6,-1.7e-07
3.6,-1.6e-07
3.7,-1.7e-07
3.7,-1.6e-07
3.7,-1.6e-07
3.8,-1.6e-07
3.8,-1.6e-07
3.9,-1.6e-07
3.9,-1.6e-07
3.9,-1.6e-07
4.0,-1.5e-07
4.0,-1.6e-07
4.1,-1.6e-07
4.1,-1.5e-07
4.1,-1.5e-07
4.2,-1.5e-07
4.2,-1.5e-07
4.3,-1.5e-07
4.3,-1.5e-07
4.3,-1.5e-07
4.4,-1.4e-07
4.4,-1.4e-07
4.5,-1.4e-07
4.5,-1.4e-07
4.5,-1.4e-07
4.6,-1.4e-07
4.6,-1.3e-07
4.7,-1.3e-07
4.7,-1.3e-07
4.7,-1.2e-07
4.8,-1.2e-07
4.8,-1.2e-07
4.9,-1.2e-07
4.9,-1.2e-07
4.9,-1.1e-07
5.0,-1.1e-07
5.0,-1.1e-07
5.1,-1.1e-07
5.1,-1e-07
5.1,-1e-07
5.2,-9e-08
5.2,-9e-08
5.3,-9e-08
5.3,-8e-08
5.3,-8e-08
5.4,-8e-08
5.4,-7e-08
5.5,-7e-08
5.5,-6e-08
5.5,-6e-08
5.6,-5e-08
5.6,-5e-08
5.7,-5e-08
5.7,-4e-08
5.7,-3e-08
5.8,-3e-08
5.8,-2e-08
5.9,-2e-08
5.9,-1e-08
5.9,0.0
6.0,0.0
6.0,1e-08
6.1,1e-08
6.1,2e-08
6.1,3e-08
6.2,3e-08
6.2,4e-08
6.3,4e-08
6.3,6e-08
6.3,7e-08
6.4,7e-08
6.4,9e-08
6.5,9e-08
6.5,1e-07
6.5,1e-07
6.6,1.1e-07
6.6,1.2e-07
6.7,1.2e-07
6.7,1.4e-07
6.7,1.5e-07
6.8,1.5e-07
6.8,1.6e-07
6.9,1.6e-07
6.9,1.8e-07
6.9,1.8e-07
7.0,1.9e-07
7.0,2.1e-07
7.1,2.1e-07
7.1,2.2e-07
7.1,2.3e-07
7.2,2.3e-07
7.2,2.5e-07
7.3,2.4e-07
7.3,2.6e-07
7.3,2.7e-07
7.4,2.7e-07
7.4,2.9e-07
7.5,2.9e-07
7.5,3e-07
7.5,3.1e-07
7.6,3.1e-07
7.6,3.3e-07
7.7,3.2e-07
7.7,3.3e-07
7.7,3.3e-07
7.8,3.4e-07
7.8,3.5e-07
7.9,3.5e-07
7.9,3.6e-07
7.9,3.7e-07
8.0,3.7e-07
8.0,3.9e-07
8.1,3.9e-07
8.1,4e-07
8.1,4.1e-07
8.2,4.1e-07
8.2,4.3e-07
8.3,4.2e-07
8.3,4.4e-07
8.3,4.5e-07
8.4,4.5e-07
8.4,4.6e-07
8.5,4.6e-07
8.5,4.8e-07
8.5,4.8e-07
8.6,4.9e-07
8.6,5.1e-07
8.7,5.1e-07
8.7,5.2e-07
8.7,5.2e-07
8.8,5.3e-07
8.8,5.4e-07
8.9,5.4e-07
8.9,5.6e-07
8.9,5.6e-07
9.0,5.7e-07
9.0,5.8e-07
9.1,5.8e-07
9.1,6e-07
9.1,6e-07
9.2,6.1e-07
9.2,6.2e-07
9.3,6.2e-07
9.3,6.3e-07
9.3,6.4e-07
9.4,6.5e-07
9.4,6.6e-07
9.5,6.6e-07
9.5,6.7e-07
9.5,6.7e-07
9.6,6.8e-07
9.6,6.9e-07
9.7,6.9e-07
9.7,7.1e-07
9.7,7.1e-07
9.8,7.2e-07
9.8,7.3e-07
9.9,7.3e-07
9.9,7.4e-07
9.9,7.5e-07
10.0,7.5e-07
10.0,7.7e-07
10.1,7.6e-07
10.1,7.8e-07
10.1,7.8e-07
10.2,7.9e-07
10.2,8e-07
10.3,8e-07
10.3,8.2e-07
10.3,8.2e-07
10.4,8.3e-07
10.4,8.5e-07
10.5,8.5e-07
10.5,8.7e-07
10.5,8.9e-07
10.6,9.1e-07
10.6,9.4e-07
10.7,9.4e-07
10.7,9.8e-07
10.7,1e-06
10.8,1.03e-06
10.8,1.08e-06
10.9,1.08e-06
10.9,1.15e-06
10.9,1.18e-06
11.0,1.21e-06
11.0,1.3e-06
11.1,1.28e-06
11.1,1.4e-06
11.1,1.44e-06
11.2,1.49e-06
11.2,1.62e-06
11.3,1.6e-06
11.3,1.76e-06
11.3,1.83e-06
11.4,1.91e-06
11.4,2.09e-06
11.5,2.07e-06
11.5,2.27e-06
11.5,2.36e-06
11.6,2.44e-06
11.6,2.66e-06
11.7,2.63e-06
11.7,2.88e-06
11.7,3e-06
11.8,3.12e-06
11.8,3.4e-06
11.9,3.34e-06
11.9,3.63e-06
11.9,3.78e-06
12.0,3.92e-06
12.0,4.24e-06
12.1,4.18e-06
12.1,4.51e-06
12.1,4.66e-06
12.2,4.81e-06
12.2,5.19e-06
12.3,5.15e-06
12.3,5.54e-06
12.3,5.73e-06
12.4,5.92e-06
12.4,6.39e-06
12.5,6.37e-06
12.5,6.79e-06
12.5,7.02e-06
12.6,7.25e-06
12.6,7.76e-06
12.7,7.76e-06
12.7,8.22e-06
12.7,8.400000000000001e-06
12.8,8.61e-06
12.8,9.13e-06
12.9,9.11e-06
12.9,9.66e-06
12.9,9.93e-06
13.0,1.018e-05
13.0,1.079e-05
13.1,1.079e-05
13.1,1.146e-05
13.1,1.181e-05
13.2,1.213e-05
13.2,1.287e-05
13.3,1.29e-05
13.3,1.374e-05
13.3,1.423e-05
13.4,1.467e-05
13.4,1.556e-05
13.5,1.56e-05
13.5,1.658e-05
13.5,1.721e-05
13.6,1.77e-05
13.6,1.871e-05
13.7,1.879e-05
13.7,1.975e-05
13.8,2.19e-05
13.8,2.2e-05
13.9,2.28e-05
13.9,2.35e-05
14.0,2.39e-05
14.0,2.49e-05
14.0,2.51e-05
14.1,2.59e-05
14.1,2.6600000000000006e-05
14.2,2.69e-05
14.2,2.78e-05
14.2,2.81e-05
14.3,2.88e-05
14.3,2.94e-05
14.4,2.97e-05
14.4,3.05e-05
14.4,3.06e-05
14.5,3.12e-05
14.5,3.17e-05
14.6,3.2e-05
14.6,3.27e-05
14.6,3.2899999999999987e-05
14.7,3.3600000000000004e-05
14.7,3.41e-05
14.8,3.43e-05
14.8,3.5e-05
14.8,3.510000000000001e-05
14.9,3.5700000000000014e-05
14.9,3.620000000000001e-05
15.0,3.64e-05
15.0,3.71e-05
15.0,3.72e-05
15.1,3.78e-05
15.1,3.83e-05
15.2,3.86e-05
15.2,3.9299999999999986e-05
15.2,3.94e-05
15.3,4e-05
15.3,4.05e-05
15.4,4.08e-05
15.4,4.15e-05
15.4,4.16e-05
15.5,4.2100000000000014e-05
15.5,4.26e-05
15.6,4.29e-05
15.6,4.36e-05
15.6,4.370000000000001e-05
15.7,4.42e-05
15.7,4.47e-05
15.8,4.49e-05
15.8,4.56e-05
15.8,4.58e-05
15.9,4.63e-05
15.9,4.68e-05
16.0,4.7e-05
16.0,4.760000000000001e-05
